user_id,income,expense,saving_amount,saving_rate,needs_ratio,wants_ratio,investment_rate,debt_ratio,dti_score,impulsive_ratio,budget_adherence,monthly_balance,cashflow,transaction_frequency,eom_spending_ratio,income_frequency,dependents,age,financial_literacy_score,segment,year_month,health_score_numeric,health_label,saving_rate_norm,wants_ratio_norm,impulsive_ratio_norm,budget_adherence_norm,dti_score_norm,investment_rate_norm
USR0001,79674045.82000001,577.55,79673468.27000001,0.999992751089843,0.0,0.0305428101462548,0.0,7.027508070381556e-06,0.0007027508070381556,1.6102971381623985e-06,0.0,79673468.27000001,Positif,2,0.03054281014630768,2,1,51,0.7156312143042174,A (Low Debt),2018-03,79.24,Sehat,0.9999927889940085,0.0305428101462548,1.6102971381623985e-06,0.0,7.027508070381556e-06,0.0
USR0001,79674045.82000001,76.15,79673969.67,0.9999990442307878,0.0,0.999999999986868,0.0,0.0,0.0,6.951481126477703e-06,0.0,79673969.67,Positif,2,0.0,1,2,27,0.8089743522221764,A (Low Debt),2018-04,55.0,Cukup,0.9999990821351918,0.999999999986868,6.951481126477703e-06,0.0,0.0,0.0
USR0001,79674045.82000001,38.52,79674007.30000001,0.9999995165301373,0.9999999999740395,0.0,0.0,0.0,0.0,0.0,0.0,79674007.30000001,Positif,1,0.0,1,2,37,0.15359911675011562,A (Low Debt),2018-06,80.0,Excellent,0.9999995544345592,0.0,0.0,0.0,0.0,0.0
USR0001,79674045.82000001,40.44,79674005.38000001,0.999999492431951,0.9999999999752721,0.0,0.0,0.0,0.0,0.0,0.0,79674005.38000001,Positif,1,0.0,2,0,20,0.22137715081995984,A (Low Debt),2018-08,80.0,Excellent,0.999999530336372,0.0,0.0,0.0,0.0,0.0
USR0001,79674045.82000001,23.26,79674022.56,0.9999997080605137,0.0,0.9999999999570077,0.0,0.0,0.0,2.123328312565612e-06,0.0,79674022.56,Positif,1,0.0,2,0,43,0.4818934804713855,A (Low Debt),2018-11,55.0,Cukup,0.9999997459649429,0.9999999999570077,2.123328312565612e-06,0.0,0.0,0.0
USR0001,79674045.82000001,501.89,79673543.93,0.9999937007089971,0.07543485624324965,0.0,0.0,5.8241048916775085e-06,0.0005824104891677509,0.0,0.0,79673543.93,Positif,3,0.014903664149514835,1,2,36,0.3237085825860324,A (Low Debt),2018-12,80.0,Excellent,0.9999937386131985,0.0,0.0,0.0,5.824104891677509e-06,0.0
USR0001,79674045.82000001,357.54,79673688.28,0.9999955124658686,0.18179784080052078,0.0,0.0,3.6717101157497113e-06,0.00036717101157497114,0.0,0.0,79673688.28,Positif,2,0.0,2,2,37,0.36973814911383984,A (Low Debt),2019-02,80.0,Excellent,0.9999955503701388,0.0,0.0,0.0,3.6717101157497113e-06,0.0
USR0001,79674045.82000001,65.0,79673980.82000001,0.9999991841759844,0.9999999999846153,0.0,0.0,0.0,0.0,0.0,0.0,79673980.82000001,Positif,1,0.0,1,0,39,0.2764198763309542,A (Low Debt),2019-06,80.0,Excellent,0.9999992220803937,0.0,0.0,0.0,0.0,0.0
USR0001,220.08,15.77,204.31,0.9283442384545241,0.9999999999365885,0.0,0.0,0.0,0.0,0.0,0.0,204.31,Positif,1,1.0,2,2,45,0.5412486648254229,A (Low Debt),2019-07,77.85,Sehat,0.9283442736428928,0.0,0.0,0.0,0.0,0.0
USR0001,79674045.82000001,537.75,79673508.07000001,0.9999932506251632,0.06508600650847962,0.0,0.0,6.310084982201296e-06,0.0006310084982201296,0.0,0.0,79673508.07000001,Positif,2,0.0,1,2,49,0.44496776607980826,A (Low Debt),2019-09,80.0,Excellent,0.9999932885293477,0.0,0.0,0.0,6.310084982201296e-06,0.0
USR0002,554.99,64.11,490.88,0.884484405122823,0.0,0.9999999999844017,0.0,0.0,0.0,5.8523894290017785e-06,0.0,490.88,Positif,1,0.0,2,2,46,0.667164212459185,A (Low Debt),2018-01,51.53,Cukup,0.8844844386487093,0.9999999999844017,5.8523894290017785e-06,0.0,0.0,0.0
USR0002,79674045.82000001,60.0,79673985.82000001,0.9999992469316779,0.9999999999833334,0.0,0.0,0.0,0.0,0.0,0.0,79673985.82000001,Positif,1,0.0,1,1,42,0.46902159470652716,A (Low Debt),2018-02,80.0,Excellent,0.9999992848360896,0.0,0.0,0.0,0.0,0.0
USR0002,79674045.82000001,32.07,79674013.75000001,0.9999995974849819,0.9999999999688183,0.0,0.0,0.0,0.0,0.0,0.0,79674013.75000001,Positif,1,0.0,2,2,45,0.5141299660236159,A (Low Debt),2018-03,80.0,Excellent,0.999999635389407,0.0,0.0,0.0,0.0,0.0
USR0002,79674045.82000001,57.32,79673988.50000001,0.9999992805687297,0.9999999999825542,0.0,0.0,0.0,0.0,0.0,0.0,79673988.50000001,Positif,1,0.0,1,1,24,0.7384995161682528,A (Low Debt),2018-05,80.0,Excellent,0.9999993184731426,0.0,0.0,0.0,0.0,0.0
USR0002,79674045.82000001,381.64,79673664.18,0.999995209983426,0.21491457918400872,0.04239597526453622,0.0,3.5574947535656598e-06,0.000355749475356566,1.4770185768405674e-06,0.0,79673664.18,Positif,4,0.0,1,2,33,0.5363248419214764,A (Low Debt),2018-06,78.94,Sehat,0.9999952478876847,0.04239597526453622,1.4770185768405674e-06,0.0,3.55749475356566e-06,0.0
USR0002,79674045.82000001,109.83,79673935.99000001,0.9999986215084364,0.0,0.999999999990895,0.0,0.0,0.0,1.0026016705463505e-05,0.0,79673935.99000001,Positif,1,0.0,4,2,54,0.5166593859410598,A (Low Debt),2018-09,55.0,Cukup,0.9999986594128244,0.999999999990895,1.0026016705463505e-05,0.0,0.0,0.0
USR0002,79674045.82000001,349.26,79673696.56,0.999995616389297,0.21471110347530575,0.03367119051699688,0.0,3.2947994205423414e-06,0.00032947994205423414,1.073531425441599e-06,0.0,79673696.56,Positif,3,0.2147111034759205,1,2,51,0.3208815224232644,A (Low Debt),2018-11,79.16,Sehat,0.9999956542935711,0.03367119051699688,1.073531425441599e-06,0.0,3.2947994205423414e-06,0.0
USR0002,79674045.82000001,30.54,79674015.28,0.999999616688224,0.9999999999672561,0.0,0.0,0.0,0.0,0.0,0.0,79674015.28,Positif,1,0.0,1,1,23,0.5160326179784626,A (Low Debt),2019-02,80.0,Excellent,0.9999996545926497,0.0,0.0,0.0,0.0,0.0
USR0002,79674045.82000001,7.0,79674038.82000001,0.9999999121420291,0.0,0.9999999998571428,0.0,0.0,0.0,6.390068008580947e-07,0.0,79674038.82000001,Positif,1,0.0,1,1,41,0.4091363207895005,A (Low Debt),2019-03,55.0,Cukup,0.999999950046466,0.9999999998571428,6.390068008580947e-07,0.0,0.0,0.0
USR0002,79674045.82000001,13.9,79674031.92,0.999999825539172,0.0,0.9999999999280575,0.0,0.0,0.0,1.2688849331325023e-06,0.0,79674031.92,Positif,1,0.0,1,2,52,0.5100110374626253,A (Low Debt),2019-06,55.0,Cukup,0.9999998634436056,0.9999999999280575,1.2688849331325023e-06,0.0,0.0,0.0
USR0002,79674045.82000001,13.09,79674032.73,0.9999998357055944,0.0,0.9999999999236058,0.0,0.0,0.0,1.194942717604637e-06,0.0,79674032.73,Positif,1,0.0,2,0,32,0.2720102621898708,A (Low Debt),2019-09,55.0,Cukup,0.9999998736100284,0.9999999999236058,1.194942717604637e-06,0.0,0.0,0.0
USR0003,79674045.82000001,39.05,79674006.77000001,0.9999995098780338,0.0,0.9999999999743919,0.0,0.0,0.0,3.564745081929799e-06,0.0,79674006.77000001,Positif,1,0.0,1,0,27,0.4592813586410652,A (Low Debt),2018-01,55.0,Cukup,0.9999995477824555,0.9999999999743919,3.564745081929799e-06,0.0,0.0,0.0
USR0003,79674045.82000001,11.76,79674034.06,0.9999998523986088,0.0,0.999999999914966,0.0,0.0,0.0,1.073531425441599e-06,0.0,79674034.06,Positif,1,0.0,1,0,28,0.32280576134342753,A (Low Debt),2018-02,55.0,Cukup,0.9999998903030435,0.999999999914966,1.073531425441599e-06,0.0,0.0,0.0
